iter	Logloss
0	0.6119007568
1	0.5433432617
2	0.4847788696
3	0.4341618042
4	0.3899941406
5	0.3512244873
6	0.3171270142
7	0.2879542847
8	0.2608768921
9	0.2368121033
10	0.2151065369
11	0.1956217346
12	0.1780196381
13	0.1621379547
14	0.1482194977
15	0.135291748
16	0.123473465
17	0.1127941513
18	0.1031158447
19	0.09427533722
20	0.08634204102
21	0.07899276733
22	0.07231463623
23	0.06625679016
24	0.06065991211
25	0.05561165237
26	0.05097208405
27	0.04683716202
28	0.04292801666
29	0.03935482407
30	0.03613689423
31	0.03316527557
32	0.03041921234
33	0.02792875671
34	0.0256305809
35	0.02352568436
36	0.02158540726
37	0.0198248291
38	0.01819868088
39	0.01671524239
40	0.01533666992
41	0.01409408569
42	0.01294308949
43	0.0118921833
44	0.01091756058
45	0.01002339935
46	0.009204875946
47	0.008457511902
48	0.007760451317
49	0.007132579803
50	0.006552617073
51	0.006018453598
52	0.005529839516
53	0.005078276634
54	0.004664992332
55	0.004293131828
56	0.003945779324
57	0.003626041889
58	0.003332315207
59	0.003061345816
60	0.00281201148
61	0.002582671165
62	0.002374500275
63	0.002183625698
64	0.00200938344
65	0.001846589923
66	0.001697463751
67	0.001560031414
68	0.001432938218
69	0.001316555619
70	0.001210073948
71	0.00111192739
72	0.001024479628
73	0.0009407063127
74	0.0008649816513
75	0.0007953877449
76	0.0007310948372
77	0.0006721255779
78	0.0006182432175
79	0.0005690052509
80	0.0005233114362
81	0.0004809365571
82	0.0004424518645
83	0.0004066497684
84	0.0003739263415
85	0.0003437414765
86	0.0003164669275
87	0.0002912623882
88	0.0002680566311
89	0.0002470585406
90	0.0002269634008
91	0.0002091380656
92	0.0001926796883
93	0.0001772463918
94	0.0001629538536
95	0.0001499001682
96	0.0001383698285
97	0.0001272251904
98	0.0001169960797
99	0.0001079691052
100	9.967301041e-05
101	9.187287837e-05
102	8.467782289e-05
103	7.775463164e-05
104	7.181489468e-05
105	6.696470082e-05
106	6.125517935e-05
107	5.63284792e-05
108	5.264099687e-05
109	4.788973927e-05
110	4.497950524e-05
111	4.104195535e-05
112	3.817542642e-05
113	3.626504168e-05
114	3.233651072e-05
115	3.039366379e-05
116	2.898199297e-05
117	2.620734274e-05
118	2.376203984e-05
119	2.250874229e-05
120	2.141973935e-05
121	1.992103085e-05
122	1.727485657e-05
123	1.61437802e-05
124	1.538061723e-05
125	1.462759078e-05
126	1.394308917e-05
127	1.336644683e-05
128	1.264844649e-05
129	1.039201859e-05
130	9.459592402e-06
131	9.025704116e-06
132	8.603276685e-06
133	8.224446326e-06
134	7.849654183e-06
135	7.545313798e-06
136	7.194272708e-06
137	6.822682917e-06
138	6.827018224e-06
139	6.524402648e-06
140	6.020692177e-06
141	5.984549411e-06
142	5.812752992e-06
143	5.452162586e-06
144	5.276639946e-06
145	5.253864918e-06
146	4.236694425e-06
147	3.121657996e-06
148	2.539091511e-06
149	2.3883658e-06
150	2.239201684e-06
151	2.166048624e-06
152	1.960085472e-06
153	1.84751919e-06
154	1.789101399e-06
155	1.758586732e-06
156	1.681124093e-06
157	1.401362708e-06
158	1.623776392e-06
159	1.366689336e-06
160	1.266096253e-06
161	1.197982929e-06
162	1.066694385e-06
163	1.167917973e-06
164	1.220771344e-06
165	1.150701893e-06
166	1.122060814e-06
167	1.014080364e-06
168	9.638540796e-07
169	9.695899207e-07
170	8.571444778e-07
171	7.446193486e-07
172	7.47715123e-07
173	6.25176006e-07
174	8.623303147e-07
175	7.147447905e-07
176	6.46430417e-07
177	6.379426923e-07
178	6.253335741e-07
179	5.954443477e-07
180	6.202717777e-07
181	5.848784931e-07
182	4.93411324e-07
